"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4954","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","1.827972","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","2","1","6.096399","0","33"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.786205","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","1","1","1.845849","0","8"
"/Voxel/ToolMaterials/ToolMeshMaterial.ToolMeshMaterial","0","3","3","1","0.000000","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","18","2","1","12.481063","0","166"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","1","1","7.349176","0","70"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","1","1","1.794719","0","8"
"/Game/Canvas/M_canvas.M_canvas","0","8","5","2","3.905965","0","16"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","53","7","6","31.984322","0","348"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","4","1","1","1.982958","0","13"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","26","1","1","15.963952","0","265"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","35","1","1","5.830099","0","442"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","1","1","1.877521","0","8"
"/Game/FirstPersonArms/Character/Materials/M_Mannequin.M_Mannequin","0","56","4","2","51.305626","0","482"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","69","4","3","59.236084","0","459"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","27","2","1","20.008995","0","266"
"/Interchange/gltf/M_Default.M_Default","0","135","11","6","256.838226","0","960"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","3","1","4.608740","0","25"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","1","1","3.188298","0","15"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","2.342024","0","6"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","0","135","11","6","270.580444","0","1036"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","36","1","1","15.876749","0","317"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","0","23","1","1","16.839869","0","162"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","0","23","1","1","17.902113","0","164"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","0","23","1","1","17.136921","0","176"
"/Voxel/Preview/M_PreviewMaterial.M_PreviewMaterial","0","17","1","1","13.900647","0","141"
"/Game/Portals/M_portal.M_portal","0","14","1","1","8.879218","0","81"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","23","1","1","16.521986","0","192"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","135","8","6","257.930481","0","1199"
"/Voxel/Preview/M_2DPreviewMaterial.M_2DPreviewMaterial","0","29","1","1","19.915453","0","250"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","0","23","1","1","17.192142","0","177"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","0","9","1","1","5.672413","0","38"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","54","1","1","43.551613","0","632"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","23","1","1","16.865746","0","212"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","0","23","1","1","17.289801","0","209"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","0","23","1","1","17.168026","0","242"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","12","1","1","7.493842","0","63"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","12","1","1","0.000000","0","63"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","0","23","1","1","17.066906","0","228"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","0","23","1","1","16.663254","0","157"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","8","2","2","4.454424","0","24"
"/Interchange/gltf/M_Transmission.M_Transmission","0","50","2","2","577.706909","0","420"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","33","1","1","129.762817","0","358"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","0","23","1","1","18.531181","0","149"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","20","1","1","17.761705","0","159"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","1","1","2.785047","0","10"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","0","35","1","1","9.113791","0","351"
"/Interchange/gltf/M_Sheen.M_Sheen","0","135","6","6","272.078827","0","1209"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","3","1","2.904953","0","40"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","0","23","1","1","17.937965","0","175"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","0","23","1","1","17.496855","0","216"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","0","23","1","1","17.776911","0","231"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","0","23","1","1","16.834135","0","190"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","0","23","1","1","16.969408","0","190"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","26","1","1","19.912897","0","262"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","9.928164","0","97"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","1","1","2.231396","0","8"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","0","23","1","1","16.895861","0","225"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","0","23","1","1","17.860355","0","179"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","0","23","1","1","17.333254","0","202"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","0","23","1","1","17.109777","0","186"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","0","23","1","1","16.565136","0","229"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","3","2","33.019947","0","329"
"/Voxel/ToolMaterials/ToolRenderingMaterial_Surface.ToolRenderingMaterial_Surface","0","8","1","1","6.182093","0","33"
"/Voxel/ToolMaterials/ToolRenderingMaterial.ToolRenderingMaterial","0","3","1","1","2.492763","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","36","1","1","14.911558","0","459"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","1","1","2.294790","0","10"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","67","1","1","45.796864","0","816"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","23","4","1","16.017895","0","159"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","23","1","1","15.944239","0","200"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","23","1","1","15.900948","0","178"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","23","1","1","16.140675","0","242"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","0","23","1","1","15.683726","0","206"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","35","1","1","22.687561","0","314"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","0","23","1","1","14.951162","0","157"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","0","35","2","1","22.285702","0","262"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","0","23","1","1","14.475265","0","161"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","0","23","1","1","15.305416","0","201"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","1","1","6.581471","0","42"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","68","1","1","344.404449","0","1000"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","0","23","1","1","15.883539","0","145"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","0","23","1","1","15.708982","0","203"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","0","23","1","1","15.207657","0","166"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","23","1","1","15.405724","0","164"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","9","1","1","5.463756","0","42"
"/Interchange/gltf/M_Unlit.M_Unlit","0","61","7","6","38.526173","0","408"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","9","1","1","5.367759","0","46"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","0","72","1","1","48.565727","0","1260"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","0","23","1","1","15.643852","0","153"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","0","23","1","1","16.213501","0","154"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","23","1","1","16.240215","0","158"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","0","23","1","1","16.616993","0","213"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","0","23","1","1","17.067724","0","238"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","0","23","1","1","19.094568","0","132"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","58","1","1","62.581146","0","897"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","84","1","1","91.140007","0","1444"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","12","1","1","7.267435","0","89"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","0","23","1","1","19.712885","0","189"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","0","23","1","1","16.747372","0","230"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","0","23","1","1","17.170683","0","186"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","23","1","1","0.000000","0","189"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","23","1","1","16.163849","0","139"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","23","1","1","15.826121","0","166"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","0","23","1","1","16.562363","0","157"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","0","42","1","1","28.185650","0","520"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","15","1","1","7.656589","0","88"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","0","23","1","1","16.777279","0","172"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","0","23","1","1","17.165136","0","173"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","0","23","1","1","17.020451","0","174"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","0","23","1","1","16.920256","0","130"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","0","23","1","1","16.900497","0","156"
"/Game/FPWeapon/Materials/M_FPGun.M_FPGun","0","54","1","1","33.539768","0","807"
"/Game/FirstPerson/Maps/Level8/M_Maze.M_Maze","0","4","1","1","2.309415","0","13"
"/Voxel/ToolMaterials/ViewportPlaneMaterial.ViewportPlaneMaterial","0","17","1","1","14.607319","0","125"
"/Voxel/Examples/Materials/RGB/M_VoxelMaterial_Colors_Parameter.M_VoxelMaterial_Colors_Parameter","0","29","1","1","18.706709","0","361"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","1","1","1.534113","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","1","1","1.688623","0","13"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","21","2","1","11.132097","0","150"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","0","33","1","1","145.117676","0","270"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","29","1","1","21.148281","0","241"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","0","23","4","1","18.105274","0","100"
"/Voxel/Examples/Importers/Chair/VoxelExample_M_Chair_Emissive_UVs.VoxelExample_M_Chair_Emissive_UVs","0","4","4","1","2.460101","0","5"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","1","1","1.863836","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","2.442675","0","10"
"/Game/FirstPerson/Maps/level_7/level7_line.level7_line","0","4","1","1","2.384223","0","13"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","1","1","2.949418","0","20"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","2","1","71.007591","0","790"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","35","1","1","26.753162","0","131"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","35","1","1","26.567846","0","199"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","35","1","1","0.000000","0","199"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","1","1","20.833380","0","173"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","5","5","1","3.437749","0","8"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","1","1","6.382476","0","40"
"/ControlRig/M_Manip.M_Manip","0","8","1","1","5.434340","0","35"
"/Game/Canvas/M_pen.M_pen","0","3","3","1","2.231519","0","4"
"/Game/Canvas/M_erasor.M_erasor","0","3","3","1","2.385709","0","3"
"/Voxel/Examples/Importers/Chair/VoxelExample_M_Chair.VoxelExample_M_Chair","0","23","5","1","17.892363","0","90"
"/Voxel/Examples/Importers/Chair/VoxelExample_M_Chair_Emissive_Color.VoxelExample_M_Chair_Emissive_Color","0","4","4","1","2.364838","0","4"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","0","23","5","1","0.000000","0","90"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","127","8","1","95.537910","0","1084"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","656","50","1","417.017303","0","9136"
"Globals","49","5612","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","1","1","1.848776","0","10"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","7","1","1","4.298109","0","31"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","18","7","1","16.870646","0","152"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","3","1","1","2.026820","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","3","1","1","2.176604","0","8"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","29","1","1","15.260354","0","455"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","7","1","1","2.856994","0","32"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","5","1","1","2.263313","0","17"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","1","1","1.283424","0","13"
"/Voxel/Preview/M_2DPreviewMaterial.M_2DPreviewMaterial","49","31","4","1","15.063421","0","543"
"/Game/StarterContent/Materials/M_Glass.M_Glass","49","33","1","1","30.558325","0","502"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","8","9","1","4.659329","0","17"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","14","16","1","13.676333","0","22"
"/Voxel/ToolMaterials/ToolMeshMaterial.ToolMeshMaterial","49","3","3","1","0.000000","0","3"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","3","3","1","0.000000","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","26","1","1","16.294996","0","349"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","1","1","7.693379","0","116"
